Name,Year,Total Population,Growth Rate,Population Density (per sq km),Total Fertility Rate,Life Expectancy at Birth,Under-5 Mortality Rate,Sex Ratio of the Population,Youth and Old Age (0-14 and 65+),Youth (0-14),Old Age (65+),Both Sexes,Male,Female
Portugal,2021.0,10263850,-0.23,112.2,1.42,81.3,3.1,0.9,52.7,20.3,32.5,45.1,47.0,43.2
Qatar,2021.0,2479995,1.23,214.1,1.9,79.6,9.5,3.38,16.6,15.1,1.5,33.9,28.1,35.2
Romania,2021.0,18748356,-1.36,81.6,1.63,73.4,7.9,0.94,59.4,25.2,34.2,44.3,45.7,42.9
Russia,2021.0,142847266,-0.46,8.7,1.51,71.6,8.5,0.87,50.3,25.9,24.5,40.9,43.6,38.2
Saudi Arabia,2021.0,34783757,1.62,16.2,1.95,76.4,14.4,1.3,39.4,34.1,5.3,31.2,28.3,33.4
Singapore,2021.0,5866139,0.95,8273.8,1.15,86.2,2.0,1.0,38.4,21.2,17.2,38.0,39.0,36.9
South Africa,2021.0,58576104,0.87,48.2,2.38,66.0,29.7,0.96,52.9,42.2,10.8,29.6,29.8,29.4
Sweden,2021.0,10432235,0.49,25.4,1.67,82.6,2.8,1.01,61.1,28.1,33.0,40.9,41.9,39.8
Switzerland,2021.0,8653376,0.83,216.4,1.58,83.6,3.6,0.99,52.4,22.8,29.6,43.6,44.5,42.9
Thailand,2021.0,69480520,0.26,136.0,1.54,77.4,8.9,0.95,42.0,23.3,18.7,40.2,41.2,39.0
Turkey,2021.0,82482383,0.7,107.2,1.94,76.0,22.8,1.01,46.1,33.4,12.7,32.8,33.3,32.2
UAE,2021.0,9856612,0.62,117.9,1.65,79.4,5.7,2.25,21.7,19.7,2.0,35.4,30.0,37.3
United Kingdom,2021.0,67419123,0.57,278.7,1.63,81.8,4.4,0.99,55.8,26.8,29.0,40.4,41.2,39.6
United States,2021.0,332048977,0.27,36.3,1.63,79.30000000000001,6.5000000000000036,0.98,54.1,28.1,25.9,38.8,39.8,37.7
Vietnam,2021.0,102789598,1.0,331.5,2.06,75.3,19.5,1.01,45.0,34.6,10.4,31.8,32.9,30.8
Argentina,2022.0,45121928,0.17,16.5,1.43,76.2,10.3,0.98,53.0,33.8,19.1,33.4,34.6,32.3
Australia,2022.0,26141369,1.25,3.4,1.73,83.1,3.6,0.99,53.8,28.5,25.2,37.8,38.8,36.7
Austria,2022.0,9079630,0.45,110.1,1.41,81.6,4.0,0.95,52.0,21.5,30.5,44.1,45.2,43.1
Bangladesh,2022.0,165650475,0.93,1272.6,2.09,74.7,37.4,0.96,49.2,38.3,10.9,28.7,29.5,27.9
Belgium,2022.0,11751600,0.97,388.1,1.53,81.9,2.5,0.97,57.0,25.9,31.1,42.1,43.1,41.0
Brazil,2022.0,217240060,0.7,26.0,1.8,75.9,16.8,0.97,43.1,28.6,14.6,34.3,35.3,33.3
Canada,2022.0,38355533,0.71,4.2,1.4,82.9,5.3,0.99,55.2,24.2,31.0,42.1,43.4,40.9
Chile,2022.0,18784952,0.6,25.3,1.37,78.7,6.3,0.97,44.8,26.4,18.5,37.1,38.2,36.0
China,2022.0,1411319078,-0.12,151.3,1.09,77.1,8.0,1.04,44.2,24.7,19.5,39.4,40.5,38.2
Colombia,2022.0,49059221,0.59,47.2,1.95,74.9,13.8,0.96,49.8,33.9,15.8,32.0,33.3,30.9
Czech Republic,2022.0,10816746,0.15,140.0,1.74,77.9,3.3,0.97,56.9,24.9,32.0,43.7,45.1,42.3
Denmark,2022.0,5907258,0.97,139.2,1.56,81.3,3.6,0.99,57.3,25.1,32.1,42.3,43.4,41.2
Egypt,2022.0,107770524,1.68,108.3,2.88,74.5,20.8,1.06,66.6,58.0,8.6,23.9,23.9,23.8
Finland,2022.0,5543960,0.07,18.2,1.33,81.2,2.6,0.98,62.5,24.7,37.7,43.6,45.2,42.0
France,2022.0,68092884,0.21,106.3,1.9,82.4,4.2,0.96,64.0,29.0,35.0,42.2,43.9,40.7
Germany,2022.0,84316622,-0.11,241.8,1.57,81.5,3.9,0.98,57.8,21.6,36.2,46.7,48.2,45.3
Greece,2022.0,10533871,-0.34,80.6,1.4,81.5,4.1,0.95,59.3,22.7,36.6,45.9,47.5,44.1
Hungary,2022.0,9920415,-0.37,110.7,1.59,74.7,6.0,0.95,55.9,22.9,33.0,44.2,46.0,42.4
India,2022.0,1389637446,0.67,467.4,2.1,67.2,34.1,1.06,46.9,36.8,10.0,29.2,29.9,28.6
Indonesia,2022.0,277329163,0.79,153.1,2.01,73.1,23.5,1.0,47.2,36.3,10.9,30.9,31.7,30.2
Iraq,2022.0,40462701,2.0,92.5,3.25,73.2,23.5,1.01,64.9,59.1,5.8,21.8,22.1,21.4
Ireland,2022.0,5120464,1.25,74.3,1.72,82.4,3.4,0.99,53.0,29.7,23.4,39.4,39.7,39.1
Israel,2022.0,9111963,1.58,423.9,2.97,82.1,3.9,1.01,66.0,46.1,20.0,30.0,30.6,29.4
Italy,2022.0,61095551,-0.13,207.7,1.22,82.6,3.7,0.93,54.7,19.0,35.6,47.7,48.7,46.7
Japan,2022.0,124214766,-0.39,340.8,1.38,84.8,2.5,0.95,70.9,21.3,49.6,49.1,50.4,47.6
Kazakhstan,2022.0,19898174,0.94,7.4,2.59,72.8,10.0,0.94,58.8,44.5,14.3,31.5,33.2,29.7
South Korea,2022.0,51717024,-0.35,533.6,0.78,83.3,3.0,0.99,41.4,16.2,25.2,45.2,46.8,43.7
